	taxon	forward_Hi_sk	merged_Hi_sk	reverse_Hi_sk	unmerged_Hi_sk	forward_Hi_b2	merged_Hi_b2	reverse_Hi_b2	unmerged_Hi_b2
118	Arthropoda;Arachnida;Trombidiformes;Eupodidae;;Eupodidae sp. BOLD:ACI9911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
119	Arthropoda;Collembola;;Entomobryidae;Sinella;Sinella dubiosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
120	Arthropoda;Insecta;Blattodea;Blaberidae;Rhabdoblatta;Rhabdoblatta marginata	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0
121	Arthropoda;Insecta;Coleoptera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
122	Arthropoda;Insecta;Coleoptera;Brentidae;Omphalapion;Omphalapion hookerorum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
123	Arthropoda;Insecta;Coleoptera;Carabidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
124	Arthropoda;Insecta;Coleoptera;Carabidae;Nebria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
125	Arthropoda;Insecta;Coleoptera;Cerambycidae;Acmaeops;Acmaeops septentrionis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
126	Arthropoda;Insecta;Coleoptera;Chrysomelidae;;Alticinae sp. 051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
127	Arthropoda;Insecta;Coleoptera;Chrysomelidae;;Alticini sp. 162 BT-2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
128	Arthropoda;Insecta;Coleoptera;Curculionidae;Hypera	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0
129	Arthropoda;Insecta;Coleoptera;Histeridae;Paratropinus;Paratropinus scalptus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
130	Arthropoda;Insecta;Coleoptera;Nitidulidae;Cychramus;Cychramus luteus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
131	Arthropoda;Insecta;Coleoptera;Pyrochroidae;Pedilus;Pedilus terminalis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
132	Arthropoda;Insecta;Coleoptera;Scarabaeidae;Mimeoma;Mimeoma maculata	0.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0
133	Arthropoda;Insecta;Coleoptera;Staphylinidae;Carpelimus;Carpelimus nitidus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
134	Arthropoda;Insecta;Coleoptera;Tenebrionidae;Gonocephalum;Gonocephalum persimile	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
135	Arthropoda;Insecta;Coleoptera;Zeugophoridae;Zeugophora;Zeugophora subspinosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
136	Arthropoda;Insecta;Diptera;Ceratopogonidae;Culicoides;Culicoides lupicaris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
137	Arthropoda;Insecta;Diptera;Dolichopodidae;Systenus;Systenus eucercus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
138	Arthropoda;Insecta;Diptera;Mycetophilidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
139	Arthropoda;Insecta;Diptera;Mycetophilidae;;Mycetophilidae sp. BOLD:ABW9767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
140	Arthropoda;Insecta;Diptera;Mycetophilidae;;Mycetophilidae sp. BOLD:ACD0573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
141	Arthropoda;Insecta;Diptera;Psychodidae;Brumptomyia;Brumptomyia travassosi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
142	Arthropoda;Insecta;Diptera;Syrphidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
143	Arthropoda;Insecta;Diptera;Syrphidae;Copestylum;Copestylum vittatum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
144	Arthropoda;Insecta;Hemiptera;Halimococcidae;Colobopyga;Colobopyga pritchardiae	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
145	Arthropoda;Insecta;Hymenoptera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
146	Arthropoda;Insecta;Hymenoptera;Braconidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
147	Arthropoda;Insecta;Hymenoptera;Braconidae;Aleiodes;Aleiodes sp. BOLD-2016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
148	Arthropoda;Insecta;Hymenoptera;Braconidae;Meteorus;Meteorus abscissus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
149	Arthropoda;Insecta;Hymenoptera;Crabronidae;;Crabronidae sp. sc_04754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
150	Arthropoda;Insecta;Hymenoptera;Formicidae;Camponotus	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
151	Arthropoda;Insecta;Hymenoptera;Formicidae;Odontomachus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
152	Arthropoda;Insecta;Hymenoptera;Formicidae;Pheidole;Pheidole sp. YT01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
153	Arthropoda;Insecta;Hymenoptera;Formicidae;Veromessor;Veromessor andrei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
154	Arthropoda;Insecta;Hymenoptera;Ichneumonidae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
155	Arthropoda;Insecta;Hymenoptera;Tenthredinidae;Athalia;Athalia bicolor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
156	Arthropoda;Insecta;Lepidoptera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0
157	Arthropoda;Insecta;Lepidoptera;;;Lepidoptera sp. BOLD:AAA1142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
158	Arthropoda;Insecta;Lepidoptera;;;Lepidoptera sp. BOLD:AAA6720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
159	Arthropoda;Insecta;Lepidoptera;Geometridae;Casbia;Casbia sp. BOLD:AAF9584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
160	Arthropoda;Insecta;Lepidoptera;Geometridae;Cleora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
161	Arthropoda;Insecta;Lepidoptera;Lymantriidae;;Lymantriidae sp. BOLD:AAL8802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
162	Arthropoda;Insecta;Lepidoptera;Noctuidae;Acantholipes;Acantholipes sp. BOLD:AAQ0223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
163	Arthropoda;Insecta;Lepidoptera;Noctuidae;Orthosia;Orthosia praeses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
164	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euphydryas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
165	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Euphydryas;Euphydryas chalcedona	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
166	Arthropoda;Insecta;Lepidoptera;Nymphalidae;Hamadryas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
167	Arthropoda;Insecta;Lepidoptera;Riodinidae;Emesis;Emesis sp. mandanaDHJ01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
168	Arthropoda;Insecta;Lepidoptera;Uraniidae;Acropteris;Acropteris nanula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
169	Arthropoda;Insecta;Neuroptera;Chrysopidae;Apochrysa;Apochrysa matsumurae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
170	Arthropoda;Insecta;Trichoptera;Ecnomidae;Agmina;Agmina rhara	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
171	Arthropoda;Malacostraca;Amphipoda;Gammaridae;Gammarus;Gammarus minus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
172	Arthropoda;Malacostraca;Amphipoda;Phronimidae;Phronimella;Phronimella elongata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
173	Arthropoda;Malacostraca;Decapoda;Cryptochiridae;Opecarcinus;Opecarcinus hypostegus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
174	Arthropoda;Malacostraca;Decapoda;Ocypodidae;Minuca;Minuca zacae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
175	Arthropoda;Malacostraca;Decapoda;Potamonautidae;Liberonautes;Liberonautes rubigimanus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
176	Arthropoda;Malacostraca;Isopoda;Ligiidae;Ligia;Ligia hawaiensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
177	Arthropoda;Maxillopoda;Calanoida;Calocalanidae;Calocalanus;Calocalanus tenuis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
178	Arthropoda;Maxillopoda;Calanoida;Clausocalanidae;Clausocalanus;Clausocalanus furcatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
