	taxon	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_sk	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2	sum-reads_Hi_b2
ASV		Forward	merged	reverse	All	forward	merged	reverse	unmerged	All
116	Ascomycota;Leotiomycetes;Helotiales	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
117	Bacteroidetes	296.0	0.0	0.0	296.0	1159.0	0.0	0.0	582.0	1741.0
118	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae	5470.0	0.0	0.0	5470.0	2915.0	0.0	0.0	1623.0	4538.0
119	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga	802.0	0.0	0.0	802.0	4.0	0.0	0.0	0.0	4.0
120	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga arvensicola	19.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0
121	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga pinensis	18.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
122	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Chitinophaga;Chitinophaga terrae Kim and Jung 2007	214.0	0.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0
123	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter;Ferruginibacter profundus	17.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
124	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Flaviaesturariibacter;Flaviaesturariibacter sp.	258.0	0.0	0.0	258.0	4.0	0.0	0.0	0.0	4.0
125	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Lacibacter;Lacibacter cauensis	35.0	0.0	0.0	35.0	61.0	0.0	0.0	0.0	61.0
126	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Niastella;Niastella koreensis	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
127	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter ginsenosidivorans	17.0	0.0	0.0	17.0	17.0	0.0	0.0	0.0	17.0
128	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Panacibacter;Panacibacter sp.	63.0	0.0	0.0	63.0	74.0	0.0	0.0	119.0	193.0
129	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium	2.0	0.0	0.0	2.0	6.0	0.0	0.0	17.0	23.0
130	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Sediminibacterium;Sediminibacterium salmoneum	16.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0
131	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;Segetibacter aerophilus	2384.0	0.0	0.0	2384.0	2455.0	0.0	0.0	869.0	3324.0
132	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Taibaiella;Taibaiella sp.	17.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0
133	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas	14.0	0.0	0.0	14.0	40.0	0.0	0.0	0.0	40.0
134	Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas;Terrimonas ferruginea	13.0	0.0	0.0	13.0	2.0	0.0	0.0	71.0	73.0
135	Bacteroidetes;Cytophagia;Cytophagales	37.0	0.0	0.0	37.0	19.0	0.0	0.0	9.0	28.0
136	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae	5.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	2.0
137	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Cytophaga;Cytophaga hutchinsonii	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
138	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Dyadobacter;Dyadobacter fermentans	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
139	Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;Flexibacter flexilis	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0
140	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae	12.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	6.0
141	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter;Adhaeribacter terreus	3.0	0.0	0.0	3.0	6.0	0.0	0.0	0.0	6.0
142	Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	62.0	0.0	0.0	62.0	237.0	0.0	0.0	438.0	675.0
